PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileRevokingInternalChangeOrder,14/09/2016,An internal error occurred while revoking the Internal Change Order. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeRequest,14/09/2016,Change Request
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeRequestCreatedSuccessfully,14/09/2016,Draft Change Request created.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileCreatingChangeRequest,14/09/2016,An internal error occurred while creating the Change Request. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeRequestAlreadyExsits,14/09/2016,A pending change request already exists. You cannot create another one.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeOrderAlreadyExsits,14/09/2016,A pending change order already exists. You cannot create another one.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InternalChangeOrderAlreadyExsits,14/09/2016,A pending Internal change order already exists. You cannot create another one.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RevokeChangeRequest,14/09/2016,Revoke Change Request
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeRequestRevokedSuccessfully,14/09/2016,The Change Request is revoked.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileRevokingChangeRequest,14/09/2016,An internal error occurred while revoking the Change Request. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AcceptChanges,14/09/2016,Create Change Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AcceptChangeRequestSuccessfully,14/09/2016,The Draft Change Order is created.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileAcceptChangeRequest,14/09/2016,An internal error occurred while creating the Change Order. Contact the helpdesk
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RejectChanges,14/09/2016,Reject Changes
